Date,Product ID,Product Name,Category,Units Sold,Current Stock,Pack Size,Lead Time Days,Unit Price,Discount,Supplier,Reorder Qty,Safety Stock,Price,Competitor Pricing,Holiday/Promotion,Weather Condition
2025-01-01,SKU-0101,Sharable bifurcated algorithm,Beverage,17,64,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.45,0,Normal
2025-01-02,SKU-0101,Sharable bifurcated algorithm,Beverage,7,63,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.64,0,Normal
2025-01-03,SKU-0101,Sharable bifurcated algorithm,Beverage,18,62,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.27,0,Normal
2025-01-04,SKU-0101,Sharable bifurcated algorithm,Beverage,14,61,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.36,0,Normal
2025-01-05,SKU-0101,Sharable bifurcated algorithm,Beverage,20,60,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.32,0,Normal
2025-01-06,SKU-0101,Sharable bifurcated algorithm,Beverage,23,59,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.44,0,Normal
2025-01-07,SKU-0101,Sharable bifurcated algorithm,Beverage,10,58,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.69,0,Normal
2025-01-08,SKU-0101,Sharable bifurcated algorithm,Beverage,9,57,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.38,0,Normal
2025-01-09,SKU-0101,Sharable bifurcated algorithm,Beverage,5,56,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.3,0,Normal
2025-01-10,SKU-0101,Sharable bifurcated algorithm,Beverage,15,55,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.59,0,Normal
2025-01-11,SKU-0101,Sharable bifurcated algorithm,Beverage,9,54,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.56,0,Normal
2025-01-12,SKU-0101,Sharable bifurcated algorithm,Beverage,7,53,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.04,0,Normal
2025-01-13,SKU-0101,Sharable bifurcated algorithm,Beverage,5,52,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.1,0,Normal
2025-01-14,SKU-0101,Sharable bifurcated algorithm,Beverage,5,51,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.78,0,Normal
2025-01-15,SKU-0101,Sharable bifurcated algorithm,Beverage,11,50,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.88,0,Normal
2025-01-16,SKU-0101,Sharable bifurcated algorithm,Beverage,8,49,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.67,0,Normal
2025-01-17,SKU-0101,Sharable bifurcated algorithm,Beverage,13,48,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.56,0,Normal
2025-01-18,SKU-0101,Sharable bifurcated algorithm,Beverage,12,47,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.05,0,Normal
2025-01-19,SKU-0101,Sharable bifurcated algorithm,Beverage,14,46,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.78,0,Normal
2025-01-20,SKU-0101,Sharable bifurcated algorithm,Beverage,6,45,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.66,0,Normal
2025-01-21,SKU-0101,Sharable bifurcated algorithm,Beverage,35,44,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.68,0,Normal
2025-01-22,SKU-0101,Sharable bifurcated algorithm,Beverage,3,43,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.45,0,Normal
2025-01-23,SKU-0101,Sharable bifurcated algorithm,Beverage,12,42,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.97,0,Normal
2025-01-24,SKU-0101,Sharable bifurcated algorithm,Beverage,5,41,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.93,0,Normal
2025-01-25,SKU-0101,Sharable bifurcated algorithm,Beverage,8,40,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.9,0,Normal
2025-01-26,SKU-0101,Sharable bifurcated algorithm,Beverage,12,39,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.75,0,Normal
2025-01-27,SKU-0101,Sharable bifurcated algorithm,Beverage,30,38,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.34,0,Normal
2025-01-28,SKU-0101,Sharable bifurcated algorithm,Beverage,16,37,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.11,0,Normal
2025-01-29,SKU-0101,Sharable bifurcated algorithm,Beverage,16,36,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.49,0,Normal
2025-01-30,SKU-0101,Sharable bifurcated algorithm,Beverage,15,35,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.97,0,Normal
2025-01-31,SKU-0101,Sharable bifurcated algorithm,Beverage,8,34,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.41,0,Normal
2025-02-01,SKU-0101,Sharable bifurcated algorithm,Beverage,6,33,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.81,0,Normal
2025-02-02,SKU-0101,Sharable bifurcated algorithm,Beverage,8,32,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.43,0,Normal
2025-02-03,SKU-0101,Sharable bifurcated algorithm,Beverage,18,31,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.91,0,Normal
2025-02-04,SKU-0101,Sharable bifurcated algorithm,Beverage,1,30,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.93,0,Normal
2025-02-05,SKU-0101,Sharable bifurcated algorithm,Beverage,11,29,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.62,0,Normal
2025-02-06,SKU-0101,Sharable bifurcated algorithm,Beverage,4,28,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.39,0,Normal
2025-02-07,SKU-0101,Sharable bifurcated algorithm,Beverage,17,27,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.49,0,Normal
2025-02-08,SKU-0101,Sharable bifurcated algorithm,Beverage,7,26,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.7,0,Normal
2025-02-09,SKU-0101,Sharable bifurcated algorithm,Beverage,13,25,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,7.09,0,Normal
2025-02-10,SKU-0101,Sharable bifurcated algorithm,Beverage,16,24,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.85,0,Normal
2025-02-11,SKU-0101,Sharable bifurcated algorithm,Beverage,11,23,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.87,0,Normal
2025-02-12,SKU-0101,Sharable bifurcated algorithm,Beverage,5,22,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,5.97,0,Normal
2025-02-13,SKU-0101,Sharable bifurcated algorithm,Beverage,20,21,12,2,6.19,0.06,"Hill, Walker and Doyle",36,28,6.19,6.1,0,Normal
